Number	Name	Desig	Family	CS	Class	DS	DF	Diam	HS	HB	H	GS	G	G2	AS	pF	Albedo	PF	Period	PDesc	Freq	AF	AMin	AMax	U	Pole	Bin	Notes	
0	2000 DO8	2000 DO8	9101	A	S*	D		0.037	L		24.54	A	0.24		A		0.20		0.0217		99.999999			1.39	3	0		

0	2000 EB14	2000 EB14	9101	A	S*	D		0.051	L		23.81	A	0.24		A		0.20		1.79		13.407821			1.7	2	0		

0	2000 HB24	2000 HB24	9101	A	S*	D		0.048	L		23.95	A	0.24		A		0.20		0.2176		99.999999			0.24	3	0		

0	2000 KA	2000 KA	9101	A	S*	C		0.136	M		21.7	A	0.24		A		0.20		11.46		2.094241		0.13	0.22	2	0		

0	2000 LF3	2000 LF3	9101	A	S*	C		0.142	M		21.6	A	0.24		A		0.20	<	1.0		24.000000				2	0		R

0	2000 RE52	2000 RE52	9101	A	S*	C		0.103	M		22.3	A	0.24		A		0.20		4.909		4.888979			0.9	3	0		

0	2000 SL10	2000 SL10	9101	A	S*	C		0.124	M		21.9	A	0.24		A		0.20									0		I

0	2000 SM10	2000 SM10	9101	A	S*	D		0.045	L		24.1	A	0.24		A		0.20	>	18.		1.333333	>		0.2	2	0		N

0	2000 TL1	2000 TL1	9101	A	S*	C		0.059	M		23.5	A	0.24		A		0.20									0		I

0	2000 UK11	2000 UK11	9101	A	S*	D		0.026	L		25.3	A	0.24		A		0.20		0.026599		99.999999		0.24	0.28	2	0		A

0	2000 UO30	2000 UO30	9101	A	S*	D		0.041	L		24.3	A	0.24		A		0.20		0.578		41.522491		0.17	0.21	3-	0		

0	2000 WG10	2000 WG10	9101	A	S*	D		0.062	M		23.4	A	0.24		A		0.20		0.228		99.999999		0.41	0.48	3-	0		

0	2000 WG63	2000 WG63	9101	A	S*	D		0.068	L		23.2	A	0.24		A		0.20		0.1383		99.999999		0.29	0.43	3-	0		

0	2000 WH10	2000 WH10	9101	A	S*	D		0.094	L		22.5	A	0.24		A		0.20		0.02221		99.999999		0.50	0.66	3-	0		

0	2000 WJ107	2000 WJ107	9101	A	S*	D		0.054	L		23.7	A	0.24		A		0.20					>		0.6	1	0		N

0	2000 WL107	2000 WL107	9101	A	S*	D		0.038	L		24.44	A	0.24		A		0.20		0.1609		99.999999			1.1	3	0		T+

0	2000 WM10	2000 WM10	9101	A	S*	D		0.021	L		25.8	A	0.24		A		0.20	D		long?						0		N

0	2000 WN148	2000 WN148	9101	A	S*	D		0.098	L		22.4	A	0.24		A		0.20		0.55		43.636364			0.14	2	0		N

0	2000 WP19	2000 WP19	9101	A	S*	C		0.086	M		22.7	A	0.24		A		0.20									0		

0	2000 WQ148	2000 WQ148	9101	A	S*	D		0.086	L		22.7	A	0.24		A		0.20		0.1659		99.999999		0.28	0.30	3	0		

0	2000 WS28	2000 WS28	9101	A	S*	D		0.057	L		23.6	A	0.24		A		0.20		0.03646		99.999999		0.35	0.36	3-	0		

0	2000 YA	2000 YA	9101	A	S*	C		0.054	M		23.7	A	0.24		A		0.20		0.6658		36.046861		0.26	0.35	2	0		1A

0	2001 AV43	2001 AV43	9101	A	S*	D		0.031	L		24.9	A	0.24		A		0.20		0.1701		99.999999			0.26	2	0		N

0	2001 BF10	2001 BF10	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20	<	0.4		60.000000				2	0		R

0	2001 CP36	2001 CP36	9101	A	S*	C		0.054	M		23.7	A	0.24		A		0.20	>	10.		2.400000			0.05	2	0		RN

0	2001 CQ36	2001 CQ36	9101	A	S*	D		0.086	L		22.7	A	0.24		A		0.20									0		

0	2001 DS8	2001 DS8	9101	A	S*	D		0.082	L		22.8	A	0.24		A		0.20		0.531		45.197740		0.25	0.46	3-	0		

0	2001 EC16	2001 EC16	9101	A	S*	L		0.103	M		22.3	A	0.24		A		0.20		200.		0.120000				2	0		R

0	2001 GR2	2001 GR2	9101	A	S*	C		0.142	M		21.6	A	0.24		A		0.20									0		N

0	2001 JV1	2001 JV1	9101	A	S*	C		0.150	M		21.48	A	0.24		A		0.20	<	29.		0.827586				2	0		RNT0

0	2001 KU66	2001 KU66	9101	A	S*	D		0.045	L		24.1	A	0.24		A		0.20		0.87		27.586207		0.53	0.55	3-	0		

0	2001 SQ3	2001 SQ3	9101	A	S*	D		0.142	L		21.6	A	0.24		A		0.20		0.06248		99.999999			0.39	3-	0		

0	2001 UF5	2001 UF5	9101	A	S*	D		0.098	L		22.4	A	0.24		A		0.20		0.261		91.954023		0.59	0.60	3	0		

0	2001 WJ4	2001 WJ4	9101	A	S*	D		0.010	L		27.4	A	0.24		A		0.20		0.904		26.548673		0.87	0.93	3	0		

0	2001 WR5	2001 WR5	9101	A	S*	D		0.078	L		22.9	A	0.24		A		0.20		0.358		67.039106		0.57	0.63	3	0		

0	2001 WV1	2001 WV1	9101	A	S*	D		0.094	L		22.5	A	0.24		A		0.20		0.0449		99.999999			0.38	2	0		N

0	2001 XU4	2001 XU4	9101	A	S*	D		0.054	L		23.7	A	0.24		A		0.20		0.46		52.173913		0.65	0.76	2	0		

0	2002 AA29	2002 AA29	9101	A	S*	L		0.027	L		25.2	A	0.24		A		0.20	<	0.55		43.636364				2	0		NR

0	2002 AH29	2002 AH29	9101	A	S*	C		0.149	M		21.5	A	0.24		A		0.20									0		I

0	2002 AO11	2002 AO11	9101	A	S*	C		0.086	M		22.7	A	0.24		A		0.20									0		

0	2002 BF25	2002 BF25	9101	A	S*	C		0.097	M		22.42	A	0.24		A		0.20									0		

0	2002 CX58	2002 CX58	9101	A	S*	C		0.103	M		22.3	A	0.24		A		0.20		51.7		0.464217			1.12	2	0		T?

0	2002 EC	2002 EC	9101	A	S*	D		0.062	L		23.4	A	0.24		A		0.20		6.169		3.890420			0.57	3-	0		

0	2002 GD10	2002 GD10	9101	A	S*	D		0.086	L		22.7	A	0.24		A		0.20		0.7356		32.626427			0.09	2	0		N

0	2002 JR100	2002 JR100	9101	A	S*	C		0.041	M		24.3	A	0.24		A		0.20									0		

0	2002 LY1	2002 LY1	9101	A	S*	C		0.103	M		22.3	A	0.24		A		0.20		3.204		7.490637			1.24	3-	0		

0	2002 TH68	2002 TH68	9101	A	S*	C		0.149	M		21.5	A	0.24		A		0.20									0		I

0	2002 TP69	2002 TP69	9101	A	S*	C		0.124	M		21.89	M	0.24		A		0.20		16.94		1.416765			0.10	2-	0		

0	2002 TZ66	2002 TZ66	9101	A	S*	C		0.020	M		25.9	A	0.24		A		0.20	<	1.1		21.818182				2	0		R

0	2002 UK11	2002 UK11	9101	A	S*	D		0.136	L		21.7	A	0.24		A		0.20		8.		3.000000			1.2	2+	0		

0	2002 VO85	2002 VO85	9101	A	S*	C		0.142	M		21.6	A	0.24		A		0.20									0		

0	2003 EM1	2003 EM1	9101	A	S*	C		0.037	M		24.5	A	0.24		A		0.20		0.030968		99.999999		0.53	0.62	2	0		

0	2003 EZ16	2003 EZ16	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20									0		

0	2003 SR84	2003 SR84	9101	A	S*	D		0.024	L		25.44	A	0.24		A		0.20		2.352		10.204082		0.83	0.88	3	0		

0	2003 SS84	2003 SS84	9101	A	S*	C		0.130	M		21.8	A	0.24		A		0.20							0.3		0	B	RN

0	2003 WT153	2003 WT153	9101	A	S*	C		0.007	M		28.0	A	0.24		A		0.20		0.117		99.999999			0.16	2	0		N

0	2003 XV	2003 XV	9101	A	S*	C		0.014	M		26.7	A	0.24		A		0.20									0		N

0	2004 BB75	2004 BB75	9101	A	S*	D		0.071	L		23.1	A	0.24		A		0.20	>	3.		8.000000	>		0.35	2	0		

0	2004 BV18	2004 BV18	9101	A	S*	D		0.020	L		25.9	A	0.24		A		0.20		0.0565		99.999999		0.16	0.22	3-	0		

0	2004 BW18	2004 BW18	9101	A	S*	D		0.094	L		22.5	A	0.24		A		0.20		8.29		2.895054		0.21	0.22	3-	0		

0	2004 EU22	2004 EU22	9101	A	S*	C		0.054	M		23.7	A	0.24		A		0.20									0		I

0	2004 FH	2004 FH	9101	A	S*	C		0.022	M		25.7	A	0.24		A		0.20		0.0504		99.999999		0.75	1.16	3	0		T

0	2004 GD	2004 GD	9101	A	S*	D		0.054	L		23.7	A	0.24		A		0.20									0		

0	2004 GD2	2004 GD2	9101	A	S*	D		0.041	L		24.3	A	0.24		A		0.20		0.23538		99.999999		0.78	0.88	3-	0		

0	2004 HC39	2004 HC39	9101	A	S*	C		0.149	M		21.5	A	0.24		A		0.20									0		I

0	2004 HZ	2004 HZ	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20					>		0.1		0		N

0	2004 KF17	2004 KF17	9101	A	S*	C		0.018	M		26.1	A	0.24		A		0.20		0.249		96.385542			0.34	2+	0		

0	2004 SC56	2004 SC56	9101	A	S*	C		0.086	M		22.7	A	0.24		A		0.20									0		

0	2004 SS	2004 SS	9101	A	S*	C		0.124	M		21.9	A	0.24		A		0.20		58.		0.413793			0.21	1	0		

0	2004 TB10	2004 TB10	9101	A	S*	C		0.156	M		21.4	M	0.15		A		0.20									0		NI

0	2004 TC18	2004 TC18	9101	A	S*	D		0.047	L		24.0	A	0.24		A		0.20		0.741		32.388664			0.34	2	0		N

0	2004 UR	2004 UR	9101	A	S*	C		0.071	M		23.1	A	0.24		A		0.20									0		I

0	2004 VB61	2004 VB61	9101	A	S*	C		0.113	M		22.1	A	0.24		A		0.20									0		I

0	2004 VJ1	2004 VJ1	9101	A	S*	C		0.045	M		24.1	A	0.24		A		0.20									0		

0	2004 XK14	2004 XK14	9101	A	S*	C		0.098	M		22.4	A	0.24		A		0.20									0		

0	2004 XK3	2004 XK3	9101	A	S*	C		0.039	M		24.4	A	0.24		A		0.20		0.484		49.586777			0.20	2-	0		

0	2005 EQ95	2005 EQ95	9101	A	S*	C		0.062	M		23.4	A	0.24		A		0.20									0		

0	2005 GB34	2005 GB34	9101	A	S*	D		0.025	L		25.4	A	0.24		A		0.20		0.520		46.153846		0.36	0.38	2+	0		

0	2005 GR33	2005 GR33	9101	A	S*	C		0.108	M		22.2	M	0.15		A		0.20									0		NI

0	2005 ML13	2005 ML13	9101	A	S*	C		0.094	M		22.49	A	0.24		A		0.20									0		

0	2005 UE1	2005 UE1	9101	A	S*	C		0.017	M		26.2	A	0.24		A		0.20		0.12		99.999999			2.0	1	0		

0	2005 UW5	2005 UW5	9101	A	S*	C		0.009	M		27.5	A	0.24		A		0.20		0.2406		99.750623			0.24	2	0		

0	2005 WD	2005 WD	9101	A	S*	C		0.121	T		21.95	A	0.24		A		0.20		2.927		8.199522			0.10	2-	0		

0	2006 AM4	2006 AM4	9101	A	S*	C		0.130	M		21.8	A	0.24		A		0.20		0.0847		99.999999			1.01	3	0		

0	2006 CL9	2006 CL9	9101	A	S*	C		0.082	M		22.8	A	0.24		A		0.20		0.1463		99.999999		0.35	0.39	2+	0		

0	2006 CT	2006 CT	9101	A	S*	C		0.103	M		22.3	A	0.24		A		0.20		16.69		1.437987			0.80	2+	0		T?

0	2006 DD1	2006 DD1	9101	A	S*	C		0.015	M		26.5	A	0.24		A		0.20		0.0456		99.999999			0.93	3-	0		

0	2006 DR14	2006 DR14	9101	A	S*	C		0.018	M		26.1	A	0.24		A		0.20	>	8.		3.000000	>		0.5	1	0		

0	2006 HH56	2006 HH56	9101	A	S*	C		0.047	M		24.0	A	0.24		A		0.20		0.7		34.285714			0.1	1	0		

0	2006 HU50	2006 HU50	9101	A	S*	C		0.034	M		24.7	A	0.24		A		0.20		0.444		54.054054			0.50	3	0		

0	2006 HW50	2006 HW50	9101	A	S*	C		0.039	M		24.4	A	0.24		A		0.20		0.0291		99.999999			0.32	3-	0		

0	2006 HX30	2006 HX30	9101	A	S*	C		0.017	M		26.2	A	0.24		A		0.20		0.0966		99.999999			0.41	2+	0		

0	2006 KB1	2006 KB1	9101	A	S*	C		0.039	M		24.4	A	0.24		A		0.20	>	4.		6.000000	>		0.2	1	0		

0	2006 KC	2006 KC	9101	A	S*	C		0.108	M		22.2	A	0.24		A		0.20		0.65		36.923077			0.19	2	0		

0	2006 KS38	2006 KS38	9101	A	S*	C		0.049	M		23.9	A	0.24		A		0.20		0.68		35.294118			0.55	3	0		

0	2006 MV1	2006 MV1	9101	A	S*	C		0.013	M		26.8	A	0.24		A		0.20		0.0951		99.999999			1.14	2	0		T?

0	2006 RH120	2006 RH120	9101	A	S*	D		0.003	L		29.9	A	0.24		A		0.20		0.04583		99.999999			1.1	2	0		A

0	2006 SF77	2006 SF77	9101	A	S*	C		0.142	M		21.6	A	0.24		A		0.20		0.312		76.923077			0.38	3-	0		

0	2006 UA216	2006 UA216	9101	A	S*	C		0.057	M		23.6	A	0.24		A		0.20		2.5037		9.585813			0.68	2+	0		

0	2006 XY	2006 XY	9101	A	S*	C		0.043	M		24.2	A	0.24		A		0.20		0.0830902		99.999999		0.75	1.33	3	0		

0	2006 YH14	2006 YH14	9101	A	S*	C		0.068	M		23.2	A	0.24		A		0.20		0.4251		56.457304			1.1	2	0		

0	2007 BD	2007 BD	9101	A	S*	C		0.025	M		25.4	A	0.24		A		0.20		0.10065		99.999999			0.32	3	0		

0	2007 CQ5	2007 CQ5	9101	A	S*	C		0.113	M		22.1	A	0.24		A		0.20					>		0.20		0		N

0	2007 CX50	2007 CX50	9101	A	S*	C		0.034	M		24.7	A	0.24		A		0.20		1.45		16.551724			0.8	2	0		

0	2007 DA	2007 DA	9101	A	S*	C		0.098	M		22.4	A	0.24		A		0.20		0.074		99.999999			0.99	2	0		

0	2007 DD	2007 DD	9101	A	S*	C		0.020	M		25.9	A	0.24		A		0.20		0.07429		99.999999			0.70	2+	0		

0	2007 DX	2007 DX	9101	A	S*	C		0.086	M		22.7	A	0.24		A		0.20		0.212400		99.999999			0.9	3	0		

0	2007 EF	2007 EF	9101	A	S*	C		0.156	M		21.4	A	0.24		A		0.20									0		

0	2007 EK88	2007 EK88	9101	A	S*	C		0.149	M		21.5	A	0.24		A		0.20					>		0.15		0		N

0	2007 EO	2007 EO	9101	A	S*	C		0.082	M		22.8	A	0.24		A		0.20		2.4		10.000000			1.2	2	0		

0	2007 EV	2007 EV	9101	A	S*	C		0.030	M		25.0	A	0.24		A		0.20		0.12874		99.999999			0.40	1	0		

0	2007 GQ3	2007 GQ3	9101	A	S*	C		0.118	M		22.0	A	0.24		A		0.20		0.0602		99.999999			0.54	3-	0		

0	2007 GU1	2007 GU1	9101	A	S*	C		0.030	M		25.0	A	0.24		A		0.20		4.5		5.333333			0.8	2-	0		

0	2007 GY1	2007 GY1	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20					>		0.1		0		N

0	2007 HD84	2007 HD84	9101	A	S*	C		0.059	M		23.5	A	0.24		A		0.20		0.2754		87.145969			0.65	2	0		A

0	2007 HL4	2007 HL4	9101	A	S*	C		0.045	M		24.1	A	0.24		A		0.20		1.48		16.216216			0.55	2+	0		

0	2007 KE	2007 KE	9101	A	S*	C		0.094	M		22.5	A	0.24		A		0.20		0.731		32.831737			0.80	2+	0		

0	2007 KE4	2007 KE4	9101	A	S*	C		0.027	M		25.2	A	0.24		A		0.20		0.021408		99.999999			0.38	3-	0		

0	2007 LT	2007 LT	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20		0.044583		99.999999			0.53	3-	0		

0	2007 LW19	2007 LW19	9101	A	S*	C		0.059	M		23.5	A	0.24		A		0.20		0.10169		99.999999			0.60	3	0		

0	2007 PD8	2007 PD8	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20					>		0.2		0		N

0	2007 PS9	2007 PS9	9101	A	S*	C		0.059	M		23.5	A	0.24		A		0.20		1.7292		13.879251			0.03	1+	0		

0	2007 RE2	2007 RE2	9101	A	S*	C		0.082	M		22.8	A	0.24		A		0.20		1.0		24.000000			0.5	2	0		

0	2007 RH1	2007 RH1	9101	A	S*	C		0.090	M		22.6	A	0.24		A		0.20							0.15		0		N

0	2007 RQ12	2007 RQ12	9101	A	S*	C		0.057	M		23.6	A	0.24		A		0.20		0.23		99.999999			1.9	1	0		T?

0	2007 RS146	2007 RS146	9101	A	S*	C		0.065	M		23.3	A	0.24		A		0.20		0.03209		99.999999			0.35	2	0		A

0	2007 RY9	2007 RY9	9101	A	S*	C		0.062	M		23.4	A	0.24		A		0.20		1.2		20.000000			0.6	2-	0		

0	2007 TE66	2007 TE66	9101	A	S*	C		0.144	M		21.57	M	0.15		A		0.20									0		NI

0	2007 TQ24	2007 TQ24	9101	A	S*	C		0.113	M		22.1	A	0.24		A		0.20		52.3		0.458891			0.62	2	0		T?

0	2007 TS24	2007 TS24	9101	A	S*	C		0.065	M		23.3	A	0.24		A		0.20		1.0		24.000000			1.3	2-	0		

0	2007 TU18	2007 TU18	9101	A	S*	C		0.030	M		25.0	A	0.24		A		0.20		0.271		88.560886			0.45	2+	0		

0	2007 UC2	2007 UC2	9101	A	S*	C		0.075	M		23.0	A	0.24		A		0.20		0.527		45.540797			0.40	2-	0		

0	2007 UG6	2007 UG6	9101	A	S*	C		0.075	M		23.0	A	0.24		A		0.20		1.82		13.186813			0.8	2	0		

0	2007 VE191	2007 VE191	9101	A	S*	C		0.057	M		23.6	A	0.24		A		0.20									0		

0	2007 VH184	2007 VH184	9101	A	S*	C		0.124	M		21.9	A	0.24		A		0.20					>		0.15		0		N

0	2007 VV83	2007 VV83	9101	A	S*	C		0.034	M		24.7	A	0.24		A		0.20		0.15392		99.999999			0.75	2+	0		

0	2007 WU3	2007 WU3	9101	A	S*	C		0.052	M		23.8	A	0.24		A		0.20									0		

0	2007 XN16	2007 XN16	9101	A	S*	C		0.024	M		25.5	A	0.24		A		0.20		1.7		14.117647			1.4	1+	0		

0	2007 XO3	2007 XO3	9101	A	S*	C		0.078	M		22.9	A	0.24		A		0.20		0.2530		94.861660			0.55	3-	0		

0	2008 CC71	2008 CC71	9101	A	S*	C		0.031	M		24.9	A	0.24		A		0.20		0.07561		99.999999			0.4	1	0		

0	2008 CP	2008 CP	9101	A	S*	C		0.045	M		24.1	A	0.24		A		0.20		0.83253		28.827790			0.50	3	0		

0	2008 CP116	2008 CP116	9101	A	S*	C		0.078	M		22.9	A	0.24		A		0.20		0.330		72.727273			0.15	1	0		

0	2008 DG4	2008 DG4	9101	A	S*	C		0.052	M		23.8	A	0.24		A		0.20		0.2179		99.999999			0.25	2+	0		

0	2008 GU20	2008 GU20	9101	A	S*	C		0.078	M		22.9	A	0.24		A		0.20									0		

0	2008 HA2	2008 HA2	9101	A	S*	C		0.039	M		24.4	A	0.24		A		0.20									0		

0	2008 HJ	2008 HJ	9101	A	S*	C		0.021	M		25.8	A	0.24		A		0.20		0.01185		99.999999			0.80	3-	0		

0	2008 JL24	2008 JL24	9101	A	S*	C		0.004	M		29.6	A	0.24		A		0.20		0.05385		99.999999			0.60	3-	0		

0	2008 MP1	2008 MP1	9101	A	S*	C		0.124	M		21.9	A	0.24		A		0.20									0		NH

0	2008 NP3	2008 NP3	9101	A	S*	C		0.081	M		22.83	A	0.24		A		0.20									0		

0	2008 PR9	2008 PR9	9101	A	S*	C		0.096	M		22.46	A	0.24		A		0.20									0		NI

0	2008 SA	2008 SA	9101	A	S*	C		0.030	M		25.0	A	0.24		A		0.20		0.1297		99.999999			0.13	2	0		

0	2008 TC3	2008 TC3	9101	A	S*	L		0.002	L		30.9	A	0.24		A		0.20		0.0269409		99.999999		0.24	1.02	3	1		T

0	2008 TT26	2008 TT26	9101	A	S*	C		0.057	M		23.6	A	0.24		A		0.20		7.1		3.380282		0.50	0.73	3-	0		

0	2008 TX3	2008 TX3	9101	A	S*	C		0.031	M		24.9	A	0.24		A		0.20									0		N

0	2008 TY9	2008 TY9	9101	A	S*	C		0.030	M		25	A	0.24		A		0.20		0.1924		99.999999			0.35	3-	0		

0	2008 UP100	2008 UP100	9101	A	S*	C		0.049	M		23.9	A	0.24		A		0.20		9.01		2.663707			1.95	3-	0		

0	2008 UR	2008 UR	9101	A	S*	C		0.012	M		26.9	A	0.24		A		0.20		3.2		7.500000					0		N

0	2008 UR2	2008 UR2	9101	A	S*	C		0.012	M		27.0	A	0.24		A		0.20		0.083		99.999999					0		N

0	2008 UT1	2008 UT1	9101	A	S*	C		0.103	M		22.3	A	0.24		A		0.20									0		N

0	2008 UT5	2008 UT5	9101	A	S*	C		0.037	M		24.5	A	0.24		A		0.20		0.07123		99.999999			0.38	2-	0		

0	2008 UT95	2008 UT95	9101	A	S*	C		0.010	M		27.4	A	0.24		A		0.20									0		N

0	2008 VH14	2008 VH14	9101	A	S*	C		0.057	M		23.6	A	0.24		A		0.20		7.5		3.200000			0.7	2-	0		

0	2008 VU3	2008 VU3	9101	A	S*	C		0.062	M		23.4	A	0.24		A		0.20		0.37056		64.766839			0.10	1+	0		

0	2008 WA14	2008 WA14	9101	A	S*	C		0.075	M		23.0	A	0.24		A		0.20		0.0195		99.999999					0		N

0	2008 WD14	2008 WD14	9101	A	S*	C		0.069	L		23.16	A	0.24		A		0.20		0.153051		99.999999			0.68	3	0		

0	2008 WL	2008 WL	9101	A	S*	C		0.136	M		21.7	A	0.24		A		0.20									0		NI

0	2008 WY94	2008 WY94	9101	A	S*	C		0.023	M		25.6	A	0.24		A		0.20		0.364536		65.837119			1.8	3	0		

0	2008 XC1	2008 XC1	9101	A	S*	C		0.054	M		23.7	A	0.24		A		0.20		0.201		99.999999				2	0		NA

0	2008 YY32	2008 YY32	9101	A	S*	C		0.027	M		25.2	A	0.24		A		0.20		0.048		99.999999					0		N

0	2009 BD	2009 BD	9101	A	S*	C		0.007	M		28.1	A	0.24		A		0.20									0		N

0	2009 BF2	2009 BF2	9101	A	S*	C		0.020	M		25.9	A	0.24		A		0.20		0.01593		99.999999			0.80	3	0		

0	2009 BK58	2009 BK58	9101	A	S*	C		0.021	M		25.8	A	0.24		A		0.20		0.24		99.999999					0		N

0	2009 BO5	2009 BO5	9101	A	S*	C		0.013	M		26.8	A	0.24		A		0.20		0.095		99.999999					0		N

0	2009 CV	2009 CV	9101	A	S*	C		0.041	M		24.3	A	0.24		A		0.20									0		

0	2009 DD45	2009 DD45	9101	A	S*	C		0.021	M		25.8	A	0.24		A		0.20		1.2		20.000000					0		N

0	2009 DL46	2009 DL46	9101	A	S*	C		0.118	M		22.0	A	0.24		A		0.20		42.26		0.567913			1.08	2	0		T?

0	2009 DO111	2009 DO111	9101	A	S*	C		0.082	M		22.8	A	0.24		A		0.20		0.04890		99.999999		0.35	1.22	3	0		

0	2009 EM1	2009 EM1	9101	A	S*	C		0.078	M		22.9	A	0.24		A		0.20									0		

0	2009 EP2	2009 EP2	9101	A	S*	C		0.142	M		21.6	A	0.24		A		0.20									0		N

0	2009 EW	2009 EW	9101	A	S*	C		0.016	M		26.4	A	0.24		A		0.20		0.06363		99.999999			1.50	2-	0		

0	2009 FH	2009 FH	9101	A	S*	C		0.014	M		26.6	A	0.24		A		0.20		0.1073		99.999999			0.30	3	0		

0	2009 FJ	2009 FJ	9101	A	S*	C		0.031	M		24.9	A	0.24		A		0.20		0.3937		60.960122					0		N

0	2009 FK	2009 FK	9101	A	S*	C		0.007	M		28.3	A	0.24		A		0.20	>	1.		24.000000					0		N

0	2009 FP32	2009 FP32	9101	A	S*	C		0.009	M		27.7	A	0.24		A		0.20									0		NH

0	2009 FX4	2009 FX4	9101	A	S*	C		0.025	M		25.4	A	0.24		A		0.20		0.2		99.999999					0		N

0	2009 HG60	2009 HG60	9101	A	S*	C		0.086	M		22.7	A	0.24		A		0.20		0.18835		99.999999			0.40	3	0		

0	2009 HK73	2009 HK73	9101	A	S*	C		0.016	M		26.3	A	0.24		A		0.20		0.049989		99.999999			0.23	2	0		A

0	2009 HM82	2009 HM82	9101	A	S*	C		0.086	M		22.7	A	0.24		A		0.20		0.1270467		99.999999		0.50	1.03	3	0		

0	2009 KL8	2009 KL8	9101	A	S*	C		0.041	M		24.3	A	0.24		A		0.20		0.0447		99.999999			0.75	2-	0		

0	2009 KW2	2009 KW2	9101	A	S*	C		0.014	M		26.6	A	0.24		A		0.20		0.05686		99.999999			0.70	3-	0		

0	2009 QH34	2009 QH34	9101	A	S*	C		0.031	M		24.9	A	0.24		A		0.20		0.034303		99.999999			0.50	2+	0		

0	2009 SH15	2009 SH15	9101	A	S*	C		0.037	M		24.5	A	0.24		A		0.20		0.033		99.999999					0		N

0	2009 SH2	2009 SH2	9101	A	S*	C		0.031	M		24.9	A	0.24		A		0.20		1.26		19.047619					0		N

0	2009 SK15	2009 SK15	9101	A	S*	C		0.026	M		25.3	A	0.24		A		0.20									0		N

0	2009 SN103	2009 SN103	9101	A	S*	C		0.009	M		27.6	A	0.24		A		0.20		0.037		99.999999					0		N

0	2009 TM8	2009 TM8	9101	A	S*	C		0.006	M		28.4	A	0.24		A		0.20		0.012		99.999999					0		N
